Wall time,Step,Value
1712004697.0260358,80,0.00045577145647257566
1712004748.209533,96,0.000997121911495924
1712005049.6651397,192,0.0024324627593159676
1712005239.579703,256,0.0011604827595874667
1712005289.8769324,272,0.002181733027100563
1712005436.9461699,320,0.0033252285793423653
1712005486.2749248,336,0.015791509300470352
1712005535.6100416,352,0.015191784128546715
1712005635.0489593,384,0.001487191068008542
1712005682.087342,400,0.0013915328308939934
1712005832.9878201,448,0.0019550416618585587
1712005882.5934117,464,0.015658782795071602
1712006431.6831226,640,0.018736161291599274
1712006534.5798898,672,0.019080454483628273
1712006887.203755,784,0.018516473472118378
1712006936.0693302,800,0.015118964947760105
1712006987.0452447,816,0.0018904345342889428
1712007085.2152557,848,0.012666136026382446
1712007235.5493534,896,0.012645700015127659
1712007386.193495,944,0.0019381796009838581
1712007536.737963,992,0.0027724429965019226
1712007589.8236673,1008,0.0034744758158922195
1712007638.528312,1024,0.013088267296552658
1712007688.6348534,1040,0.014198952354490757
1712007792.4044583,1072,0.0025874259881675243
1712007842.597225,1088,0.013756888918578625
1712007893.017917,1104,0.0016648927703499794
1712007940.0435696,1120,0.004025811329483986
1712008040.0507395,1152,0.015125361271202564
1712008090.1871307,1168,0.021314436569809914
1712008394.9740224,1264,0.005403882823884487
1712008495.208134,1296,0.0026597091928124428
1712008544.4035134,1312,0.002005377085879445
1712008648.570079,1344,0.013386175967752934
1712008798.8858328,1392,0.003871592227369547
1712009000.8716729,1456,0.001545763574540615
1712009516.1258264,1616,0.0024791471660137177
1712009568.2592804,1632,0.0024190822150558233
1712009716.891448,1680,0.001448546419851482
1712009868.0630631,1728,0.001315774512477219
1712009918.5685153,1744,0.0011498320382088423
1712010023.203163,1776,0.0011968596372753382
1712010374.2850661,1888,0.014933734200894833
1712010626.909333,1968,0.0017249200027436018
1712010827.6124022,2032,0.030261781066656113
1712010880.7395182,2048,0.0013594967313110828
1712010982.4201388,2080,0.004413905553519726
1712011085.6236408,2112,0.002181356307119131
1712011135.5319996,2128,0.00313623808324337
1712011395.0558944,2208,0.00229534856043756
1712011445.9159205,2224,0.0021702321246266365
1712011803.31837,2336,0.002280194777995348
1712011906.0466926,2368,0.0037604961544275284
1712011956.3312485,2384,0.002494070678949356
1712012110.496476,2432,0.003374611958861351
1712012479.5699108,2544,0.022090977057814598
1712012638.030845,2592,0.018851440399885178
1712012740.1208987,2624,0.015953315421938896
